Employee ID,Period_Start,Period_End,Phase_Lifting,Phase_Moving,Phase_Placing,Velocity_avg,Velocity_abs,Fatigue or not
2,56,65,1,0,0,-1149.9474,1149.9474,0
1,57,66,1,0,0,1042.8792,1042.8792,0
2,57,66,1,0,0,-1165.1859,1165.1859,0
1,58,67,1,0,0,1073.613,1073.613,0
2,58,67,1,0,0,-1179.375,1179.375,0
1,59,68,1,0,0,1077.573,1077.573,0
2,59,68,1,0,0,-1200.9042,1200.9042,0
1,60,69,1,0,0,1105.5477,1105.5477,0
2,60,69,1,0,0,-1219.3146,1219.3146,0
1,61,70,1,0,0,36.7476,36.7476,0
2,61,70,1,0,0,-172.4271,172.4271,0
1,62,71,1,0,0,29.4996,29.4996,0
2,62,71,1,0,0,-167.523,167.523,0
1,63,72,1,0,0,33.1341,33.1341,0
2,63,72,1,0,0,-166.4544,166.4544,0
1,64,73,1,0,0,39.1161,39.1161,0
2,64,73,1,0,0,-184.164,184.164,0
1,65,74,1,0,0,39.8928,39.8928,0
2,65,74,1,0,0,-173.1459,173.1459,0
1,66,75,1,0,0,41.0574,41.0574,0
2,66,75,1,0,0,-170.0844,170.0844,0
1,67,76,1,0,0,38.7327,38.7327,0
2,67,76,1,0,0,-162.5709,162.5709,0
1,68,77,0,1,0,43.2915,43.2915,0
2,68,77,0,1,0,-160.3104,160.3104,0
1,69,78,0,1,0,39.1236,39.1236,0
2,69,78,0,1,0,-145.0653,145.0653,0
1,70,79,0,1,0,30.351,30.351,0
2,70,79,0,1,0,-127.9035,127.9035,0
1,71,80,0,1,0,21.8646,21.8646,0
2,71,80,0,1,0,-127.0278,127.0278,0
1,72,81,0,1,0,8.3595,8.3595,0
2,72,81,0,1,0,-118.8807,118.8807,0
1,73,82,0,1,0,-4.7316,4.7316,0
2,73,82,0,1,0,-100.1712,100.1712,0
1,74,83,0,1,0,-18.5484,18.5484,0
2,74,83,0,1,0,-89.079,89.079,0
1,75,84,0,1,0,-28.4121,28.4121,0
2,75,84,0,1,0,-91.953,91.953,0
1,76,85,0,1,0,-40.9785,40.9785,0
2,76,85,0,1,0,-105.8094,105.8094,0
1,77,86,0,1,0,-47.1366,47.1366,0
2,77,86,0,1,0,-97.7496,97.7496,0
1,78,87,0,1,0,-56.328,56.328,0
2,78,87,0,1,0,-112.9308,112.9308,0
1,79,88,0,1,0,-64.7211,64.7211,0
2,79,88,0,1,0,-119.6343,119.6343,0
1,80,89,0,1,0,-91.3035,91.3035,0
2,80,89,0,1,0,-112.3737,112.3737,0
1,81,90,0,1,0,-79.2411,79.2411,0
2,81,90,0,1,0,-109.4046,109.4046,0
1,82,91,0,1,0,-84.5688,84.5688,0
2,82,91,0,1,0,-95.6394,95.6394,0
1,83,92,0,1,0,-86.7639,86.7639,0
2,83,92,0,1,0,-93.7986,93.7986,0
1,84,93,0,1,0,-99.0855,99.0855,0
2,84,93,0,1,0,-89.4378,89.4378,0
1,85,94,0,1,0,-101.2653,101.2653,0
2,85,94,0,1,0,-77.0604,77.0604,0
1,86,95,0,1,0,-115.3686,115.3686,0
2,86,95,0,1,0,-75.2586,75.2586,0
1,87,96,0,1,0,-125.421,125.421,0
2,87,96,0,1,0,-71.0406,71.0406,0
1,88,97,0,1,0,-118.9848,118.9848,0
2,88,97,0,1,0,-58.9488,58.9488,0
1,89,98,0,1,0,-103.8747,103.8747,0
2,89,98,0,1,0,-63.807,63.807,0
