Employee ID,Period_Start,Period_End,Phase_Lifting,Phase_Moving,Phase_Placing,Velocity_avg,Velocity_abs,Fatigue or not
1,57,66,1,0,0,1057.6815,1057.6815,1
2,57,66,1,0,0,-1081.7052,1081.7052,1
1,58,67,1,0,0,1075.9641,1075.9641,1
2,58,67,1,0,0,-1087.5342,1087.5342,1
1,59,68,1,0,0,-60.3036,60.3036,1
2,59,68,1,0,0,61.6629,61.6629,1
1,60,69,1,0,0,-70.1133,70.1133,1
2,60,69,1,0,0,56.9085,56.9085,1
1,61,70,1,0,0,-1119.6987,1119.6987,1
2,61,70,1,0,0,1111.3539,1111.3539,1
1,62,71,1,0,0,-1128.9675,1128.9675,1
2,62,71,1,0,0,1135.1946,1135.1946,1
1,63,72,1,0,0,-1126.1709,1126.1709,1
2,63,72,1,0,0,1155.4128,1155.4128,1
1,64,73,1,0,0,-1132.6947,1132.6947,1
2,64,73,1,0,0,1165.3878,1165.3878,1
1,65,74,1,0,0,-1124.5287,1124.5287,1
2,65,74,1,0,0,1160.6862,1160.6862,1
1,66,75,1,0,0,-1139.2659,1139.2659,1
2,66,75,1,0,0,1169.0733,1169.0733,1
1,67,76,1,0,0,-1151.4222,1151.4222,1
2,67,76,1,0,0,1167.1863,1167.1863,1
1,68,77,1,0,0,-4.9485,4.9485,1
2,68,77,1,0,0,24.7602,24.7602,1
1,69,78,1,0,0,1214.6406,1214.6406,1
2,69,78,1,0,0,-1186.7178,1186.7178,1
1,70,79,1,0,0,8.025,8.025,1
2,70,79,1,0,0,51.1176,51.1176,1
1,71,80,1,0,0,13.4634,13.4634,1
2,71,80,1,0,0,33.9885,33.9885,1
1,72,81,1,0,0,14.5848,14.5848,1
2,72,81,1,0,0,27.4434,27.4434,1
1,73,82,1,0,0,22.5891,22.5891,1
2,73,82,1,0,0,37.1097,37.1097,1
1,74,83,1,0,0,4.1466,4.1466,1
2,74,83,1,0,0,56.1282,56.1282,1
1,75,84,1,0,0,1.8198,1.8198,1
2,75,84,1,0,0,49.4103,49.4103,1
1,76,85,1,0,0,-6.3801,6.3801,1
2,76,85,1,0,0,52.494,52.494,1
1,77,86,1,0,0,-14.9868,14.9868,1
2,77,86,1,0,0,44.4651,44.4651,1
1,78,87,1,0,0,-1225.4211,1225.4211,1
2,78,87,1,0,0,1268.4336,1268.4336,1
1,79,88,1,0,0,-23.9955,23.9955,1
2,79,88,1,0,0,39.093,39.093,1
1,80,89,1,0,0,-26.1204,26.1204,1
2,80,89,1,0,0,53.3616,53.3616,1
1,81,90,1,0,0,-22.1061,22.1061,1
2,81,90,1,0,0,52.1937,52.1937,1
1,82,91,1,0,0,-32.928,32.928,1
2,82,91,1,0,0,43.3575,43.3575,1
1,83,92,1,0,0,-42.8697,42.8697,1
2,83,92,1,0,0,46.5489,46.5489,1
1,84,93,1,0,0,-51.8916,51.8916,1
2,84,93,1,0,0,53.9298,53.9298,1
1,85,94,1,0,0,-39.5679,39.5679,1
2,85,94,1,0,0,61.2777,61.2777,1
1,86,95,1,0,0,-34.1355,34.1355,1
2,86,95,1,0,0,63.3135,63.3135,1
1,87,96,1,0,0,-29.5512,29.5512,1
2,87,96,1,0,0,30.5373,30.5373,1
1,88,97,1,0,0,-25.266,25.266,1
2,88,97,1,0,0,8.8011,8.8011,1
1,89,98,1,0,0,-27.6339,27.6339,1
2,89,98,1,0,0,5.9295,5.9295,1
1,90,99,1,0,0,-38.4993,38.4993,1
2,90,99,1,0,0,17.0043,17.0043,1
1,91,100,1,0,0,-49.1454,49.1454,1
2,91,100,1,0,0,24.9717,24.9717,1
1,92,101,1,0,0,-34.0935,34.0935,1
2,92,101,1,0,0,23.4822,23.4822,1
1,93,102,1,0,0,-39.8547,39.8547,1
2,93,102,1,0,0,32.1444,32.1444,1
1,94,103,1,0,0,-56.1168,56.1168,1
2,94,103,1,0,0,15.5634,15.5634,1
1,95,104,1,0,0,-51.039,51.039,1
2,95,104,1,0,0,4.2621,4.2621,1
1,96,105,1,0,0,-61.5111,61.5111,1
2,96,105,1,0,0,29.5935,29.5935,1
1,97,106,1,0,0,-51.3936,51.3936,1
2,97,106,1,0,0,26.5596,26.5596,1
1,98,107,1,0,0,-37.3176,37.3176,1
2,98,107,1,0,0,31.6977,31.6977,1
1,99,108,1,0,0,-49.0977,49.0977,1
2,99,108,1,0,0,19.9485,19.9485,1
1,100,109,1,0,0,-55.3065,55.3065,1
2,100,109,1,0,0,2.4171,2.4171,1
1,101,110,1,0,0,-47.2707,47.2707,1
2,101,110,1,0,0,0.0594,0.0594,1
1,102,111,1,0,0,-46.6029,46.6029,1
2,102,111,1,0,0,5.844,5.844,1
1,103,112,1,0,0,-41.4576,41.4576,1
2,103,112,1,0,0,27.5784,27.5784,1
1,104,113,1,0,0,-56.8842,56.8842,1
2,104,113,1,0,0,37.4028,37.4028,1
1,105,114,1,0,0,-52.7454,52.7454,1
2,105,114,1,0,0,37.4556,37.4556,1
1,106,115,1,0,0,-75.3957,75.3957,1
2,106,115,1,0,0,42.2457,42.2457,1
1,107,116,1,0,0,-85.7208,85.7208,1
2,107,116,1,0,0,17.9193,17.9193,1
1,108,117,1,0,0,-88.1214,88.1214,1
2,108,117,1,0,0,20.085,20.085,1
1,109,118,1,0,0,-98.1432,98.1432,1
2,109,118,1,0,0,24.9423,24.9423,1
1,110,119,1,0,0,-118.143,118.143,1
2,110,119,1,0,0,7.1166,7.1166,1
1,111,120,1,0,0,-95.9439,95.9439,1
2,111,120,1,0,0,-3.63,3.63,1
1,112,121,1,0,0,-81.7017,81.7017,1
2,112,121,1,0,0,-20.7543,20.7543,1
1,113,122,1,0,0,-64.5765,64.5765,1
2,113,122,1,0,0,-37.1508,37.1508,1
1,114,123,1,0,0,-58.9263,58.9263,1
2,114,123,1,0,0,-47.1102,47.1102,1
1,115,124,1,0,0,-36.0564,36.0564,1
2,115,124,1,0,0,-54.4794,54.4794,1
1,116,125,1,0,0,-32.8368,32.8368,1
2,116,125,1,0,0,-43.6023,43.6023,1
1,117,126,1,0,0,-18.822,18.822,1
2,117,126,1,0,0,-60.5892,60.5892,1
1,118,127,1,0,0,10.4352,10.4352,1
2,118,127,1,0,0,-71.2965,71.2965,1
1,119,128,1,0,0,36.6747,36.6747,1
2,119,128,1,0,0,-64.9803,64.9803,1
1,120,129,1,0,0,36.5307,36.5307,1
2,120,129,1,0,0,-71.5431,71.5431,1
1,121,130,1,0,0,31.4913,31.4913,1
2,121,130,1,0,0,-77.475,77.475,1
1,122,131,1,0,0,33.2958,33.2958,1
2,122,131,1,0,0,-58.6932,58.6932,1
1,123,132,1,0,0,36.7389,36.7389,1
2,123,132,1,0,0,-63.4287,63.4287,1
1,124,133,1,0,0,28.7436,28.7436,1
2,124,133,1,0,0,-56.0982,56.0982,1
1,125,134,1,0,0,28.7661,28.7661,1
2,125,134,1,0,0,-41.8149,41.8149,1
1,126,135,1,0,0,32.4834,32.4834,1
2,126,135,1,0,0,-28.0515,28.0515,1
1,127,136,1,0,0,28.2954,28.2954,1
2,127,136,1,0,0,-8.1483,8.1483,1
1,128,137,1,0,0,19.9941,19.9941,1
2,128,137,1,0,0,-0.7236,0.7236,1
1,129,138,1,0,0,16.7034,16.7034,1
2,129,138,1,0,0,-1.6002,1.6002,1
1,130,139,1,0,0,10.2429,10.2429,1
2,130,139,1,0,0,19.6659,19.6659,1
1,131,140,1,0,0,-7.4019,7.4019,1
2,131,140,1,0,0,23.3982,23.3982,1
1,132,141,1,0,0,-7.9209,7.9209,1
2,132,141,1,0,0,48.6801,48.6801,1
1,133,142,1,0,0,-5.5314,5.5314,1
2,133,142,1,0,0,60.378,60.378,1
1,134,143,1,0,0,-5.8533,5.8533,1
2,134,143,1,0,0,59.871,59.871,1
1,135,144,1,0,0,-20.883,20.883,1
2,135,144,1,0,0,87.9444,87.9444,1
1,136,145,1,0,0,-22.7256,22.7256,1
2,136,145,1,0,0,84.4302,84.4302,1
1,137,146,1,0,0,-35.3922,35.3922,1
2,137,146,1,0,0,100.1274,100.1274,1
1,138,147,1,0,0,-44.6154,44.6154,1
2,138,147,1,0,0,116.0067,116.0067,1
1,139,148,1,0,0,-39.972,39.972,1
2,139,148,1,0,0,111.6843,111.6843,1
1,140,149,1,0,0,-40.9419,40.9419,1
2,140,149,1,0,0,108.7233,108.7233,1
1,141,150,1,0,0,-50.8041,50.8041,1
2,141,150,1,0,0,113.9139,113.9139,1
1,142,151,1,0,0,-51.4749,51.4749,1
2,142,151,1,0,0,100.2972,100.2972,1
1,143,152,0,1,0,-65.5239,65.5239,1
2,143,152,0,1,0,88.8207,88.8207,1
1,144,153,0,1,0,-51.9774,51.9774,1
2,144,153,0,1,0,74.0115,74.0115,1
1,145,154,0,1,0,-49.5321,49.5321,1
2,145,154,0,1,0,74.1705,74.1705,1
1,146,155,0,1,0,-53.1939,53.1939,1
2,146,155,0,1,0,58.5792,58.5792,1
1,147,156,0,1,0,-57.1032,57.1032,1
2,147,156,0,1,0,41.1579,41.1579,1
1,148,157,0,1,0,-70.7241,70.7241,1
2,148,157,0,1,0,20.6952,20.6952,1
1,149,158,0,1,0,-68.3697,68.3697,1
2,149,158,0,1,0,-5.8791,5.8791,1
1,150,159,0,1,0,-78.6612,78.6612,1
2,150,159,0,1,0,-31.4271,31.4271,1
1,151,160,0,1,0,-92.595,92.595,1
2,151,160,0,1,0,-46.3707,46.3707,1
1,152,161,0,1,0,-95.8914,95.8914,1
2,152,161,0,1,0,-70.9494,70.9494,1
1,153,162,0,1,0,-131.0601,131.0601,1
2,153,162,0,1,0,-89.8806,89.8806,1
1,154,163,0,1,0,-146.8608,146.8608,1
2,154,163,0,1,0,-141.1026,141.1026,1
1,155,164,0,1,0,-146.6307,146.6307,1
2,155,164,0,1,0,-171.6096,171.6096,1
1,156,165,0,1,0,-147.1575,147.1575,1
2,156,165,0,1,0,-211.3803,211.3803,1
1,157,166,0,1,0,-157.1847,157.1847,1
2,157,166,0,1,0,-229.9179,229.9179,1
1,158,167,0,1,0,-176.448,176.448,1
2,158,167,0,1,0,-233.6232,233.6232,1
1,159,168,0,1,0,-182.8938,182.8938,1
2,159,168,0,1,0,-268.8042,268.8042,1
1,160,169,0,1,0,-183.5748,183.5748,1
2,160,169,0,1,0,-281.8812,281.8812,1
1,161,170,0,1,0,-178.4418,178.4418,1
2,161,170,0,1,0,-303.3084,303.3084,1
1,162,171,0,1,0,-175.6551,175.6551,1
2,162,171,0,1,0,-317.2827,317.2827,1
1,163,172,0,1,0,-167.9208,167.9208,1
2,163,172,0,1,0,-310.6983,310.6983,1
1,164,173,0,1,0,-178.6428,178.6428,1
2,164,173,0,1,0,-322.7694,322.7694,1
1,165,174,0,1,0,-192.8262,192.8262,1
2,165,174,0,1,0,-313.176,313.176,1
1,166,175,0,1,0,-196.338,196.338,1
2,166,175,0,1,0,-319.5399,319.5399,1
1,167,176,0,1,0,-180.1809,180.1809,1
2,167,176,0,1,0,-339.5811,339.5811,1
1,168,177,0,1,0,-173.1156,173.1156,1
2,168,177,0,1,0,-331.9407,331.9407,1
1,169,178,0,1,0,-163.173,163.173,1
2,169,178,0,1,0,-320.8563,320.8563,1
1,170,179,0,1,0,-162.9393,162.9393,1
2,170,179,0,1,0,-297.2706,297.2706,1
1,171,180,0,1,0,-156.2106,156.2106,1
2,171,180,0,1,0,-291.7044,291.7044,1
1,172,181,0,1,0,-160.9767,160.9767,1
2,172,181,0,1,0,-267.6525,267.6525,1
1,173,182,0,1,0,-160.1583,160.1583,1
2,173,182,0,1,0,-248.2623,248.2623,1
1,174,183,0,1,0,-168.1158,168.1158,1
2,174,183,0,1,0,-222.9558,222.9558,1
1,175,184,0,1,0,-160.5786,160.5786,1
2,175,184,0,1,0,-201.7164,201.7164,1
1,176,185,0,1,0,-155.8077,155.8077,1
2,176,185,0,1,0,-184.5663,184.5663,1
1,177,186,0,1,0,-143.9421,143.9421,1
2,177,186,0,1,0,-157.6074,157.6074,1
1,178,187,0,1,0,-142.7451,142.7451,1
2,178,187,0,1,0,-141.3384,141.3384,1
1,179,188,0,1,0,-140.5653,140.5653,1
2,179,188,0,1,0,-125.0466,125.0466,1
1,180,189,0,1,0,-123.0771,123.0771,1
2,180,189,0,1,0,-122.8134,122.8134,1
