Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,15,1035.0,379.0,192.0,404.0,0.47524753,152.4,117.1,28.1,121.5,99.8,16.4,165.9,115.2,152.2,173.4,73.7,168.6,89.1,83.4,92.6,94.9,1
2,15,1167.5,322.0,123.0,320.0,0.384375,175.1,98.2,18.8,124.7,104.4,17.2,175.6,88.6,167.6,175.8,95.5,175.0,79.4,87.2,103.9,89.5,1
1,16,1037.0,379.5,192.0,405.0,0.47407407,153.3,118.9,28.9,122.6,95.4,12.3,162.4,117.7,150.2,170.4,73.8,168.6,90.0,83.1,92.1,94.7,1
2,16,1161.5,328.0,133.0,308.0,0.4318182,172.0,98.2,25.6,139.3,105.6,13.6,175.8,84.9,165.2,178.2,93.6,179.1,72.6,92.0,109.9,85.5,1
1,17,1040.5,379.5,193.0,405.0,0.47654322,154.0,120.3,29.3,126.0,90.2,7.3,163.1,118.0,150.4,171.1,75.2,169.6,91.0,82.9,91.6,94.4,1
2,17,1162.5,332.0,133.0,298.0,0.44630873,175.0,100.9,27.4,133.9,108.7,17.6,172.9,92.2,158.4,178.9,90.9,176.9,73.5,91.1,109.4,86.0,1
1,18,1040.0,379.5,190.0,403.0,0.471464,152.6,120.4,29.9,123.4,91.9,8.6,164.5,117.1,150.5,172.3,76.3,170.2,90.4,83.2,92.5,93.8,1
2,18,1160.5,341.5,133.0,285.0,0.46666667,167.0,108.0,32.8,138.2,113.7,27.4,179.1,97.2,154.8,170.0,91.2,178.2,75.2,86.3,108.0,90.6,1
1,19,1043.0,380.0,194.0,404.0,0.48019803,153.0,120.7,30.3,123.1,89.8,6.5,164.5,117.5,149.5,172.1,76.5,169.8,90.3,83.3,93.1,93.3,1
2,19,1163.0,345.0,132.0,272.0,0.4852941,170.8,101.1,34.1,136.5,117.0,24.2,179.6,98.2,145.4,171.2,92.4,176.2,67.0,92.8,116.4,83.8,1
1,20,1044.0,379.0,194.0,404.0,0.48019803,157.2,120.2,30.7,128.2,86.0,1.4,165.9,117.0,148.9,172.9,77.2,169.0,89.5,84.6,94.1,91.8,1
2,20,1163.5,350.0,135.0,264.0,0.5113636,162.2,94.3,47.2,142.5,112.9,3.4,171.3,96.6,128.8,177.5,90.8,159.7,47.1,109.4,134.5,68.9,1
1,21,1044.0,379.5,194.0,403.0,0.48138958,160.3,117.7,29.8,124.2,95.2,10.4,168.3,113.6,150.9,174.4,76.1,167.9,87.8,84.8,95.5,91.8,1
2,21,1164.0,353.5,140.0,253.0,0.5533597,170.0,95.1,65.3,142.9,112.8,20.3,169.6,94.5,114.9,178.1,88.6,135.3,29.7,133.1,150.5,46.6,1
1,22,1041.5,380.0,189.0,404.0,0.46782178,159.1,114.4,28.3,126.4,97.0,10.4,165.8,113.4,149.9,171.3,75.1,165.8,86.0,86.6,96.8,90.7,1
2,22,1162.0,357.0,138.0,246.0,0.5609756,167.0,94.8,75.1,143.9,109.1,35.1,170.0,90.9,109.2,179.8,90.5,126.7,19.7,144.2,159.9,36.2,1
1,23,1040.5,381.5,187.0,401.0,0.46633416,161.4,114.0,28.7,128.8,96.8,9.7,166.4,112.7,149.8,171.2,75.0,165.1,85.3,87.1,97.5,90.1,1
2,23,1163.0,359.0,138.0,242.0,0.57024795,178.6,89.0,62.8,143.5,107.9,32.2,179.7,89.5,116.9,172.1,93.2,133.3,26.2,140.1,153.6,40.1,1
1,24,1038.0,382.0,186.0,398.0,0.46733668,165.5,114.3,30.4,129.3,99.8,11.9,164.4,112.7,148.4,168.9,73.8,163.1,83.8,87.9,99.0,89.3,1
1,25,1035.5,383.0,185.0,396.0,0.46717173,167.9,114.7,31.8,132.6,101.0,12.7,162.7,113.2,147.2,167.0,71.6,160.7,82.9,88.3,99.7,89.1,1
1,26,1035.0,384.5,186.0,393.0,0.47328246,167.2,116.4,33.3,136.8,95.7,7.4,160.6,116.9,143.0,164.8,69.3,157.9,83.1,88.3,100.1,88.5,1
2,26,1161.0,370.0,136.0,220.0,0.6181818,165.6,93.1,62.3,141.3,108.6,19.7,179.9,88.0,122.5,167.2,99.2,150.6,30.8,128.3,149.5,51.4,1
1,27,1032.0,386.0,190.0,388.0,0.48969072,163.8,116.5,34.9,134.1,95.9,6.5,158.3,122.6,135.8,162.0,65.1,152.4,81.6,89.4,101.6,87.4,1
2,27,1163.0,371.5,136.0,219.0,0.6210046,172.4,92.4,67.0,146.5,111.4,29.8,179.8,89.6,116.4,170.9,95.8,135.1,25.4,141.3,154.1,39.3,1
1,28,1030.5,389.0,191.0,380.0,0.5026316,165.6,117.1,36.8,137.3,96.0,5.7,158.0,124.5,132.4,161.8,64.0,150.4,80.3,90.3,103.1,86.4,1
2,28,1161.0,373.5,140.0,215.0,0.6511628,173.8,95.7,68.0,146.1,108.7,28.2,172.9,91.6,116.2,175.8,92.4,135.8,27.7,136.9,152.1,43.3,1
1,29,1030.0,391.5,190.0,377.0,0.5039788,163.5,118.5,40.0,136.9,89.9,2.5,152.5,131.2,123.1,155.8,58.0,141.4,78.4,92.4,105.7,83.4,1
2,29,1160.5,375.5,141.0,211.0,0.66824645,172.4,95.6,77.7,149.1,107.7,41.2,164.0,95.1,103.0,178.4,91.0,122.4,17.8,148.9,161.9,31.3,1
1,30,1030.0,397.0,192.0,364.0,0.52747256,166.6,120.2,43.6,139.9,85.5,8.3,148.7,134.2,117.7,151.8,54.8,136.3,76.6,93.7,108.2,81.5,1
2,30,1160.5,376.5,141.0,209.0,0.67464113,171.0,93.0,77.4,151.2,107.7,44.6,166.5,90.5,106.0,179.6,92.0,120.6,15.6,152.3,163.5,28.6,1
1,31,1029.5,403.0,193.0,354.0,0.5451977,169.3,120.6,44.9,156.0,70.3,24.9,147.0,134.4,116.1,147.2,53.6,133.1,75.7,95.2,109.6,79.5,1
2,31,1158.5,377.5,139.0,207.0,0.6714976,169.8,89.0,62.1,153.8,108.5,20.6,176.0,83.7,123.8,167.1,99.1,150.6,26.9,129.1,152.5,51.5,1
1,32,1029.5,408.0,199.0,342.0,0.58187133,168.2,121.2,49.0,154.0,70.8,27.1,134.9,143.2,103.8,134.3,42.8,119.8,72.1,97.9,113.0,77.0,1
2,32,1157.0,378.5,142.0,205.0,0.6926829,161.2,93.2,62.5,149.2,107.3,11.2,164.2,92.6,118.0,172.3,99.9,161.4,30.7,118.4,149.4,61.5,1
1,33,1031.5,414.0,209.0,332.0,0.6295181,168.5,122.8,55.3,158.2,65.3,37.2,128.3,149.7,93.0,126.9,36.5,109.0,67.5,102.6,117.3,72.6,1
2,33,1157.5,382.0,139.0,208.0,0.6682692,160.8,92.0,54.8,149.0,107.7,3.9,161.3,96.1,120.7,173.9,100.9,168.8,37.2,111.6,143.2,68.0,1
1,34,1033.0,420.0,216.0,318.0,0.6792453,165.3,124.3,57.9,162.2,54.8,49.4,122.0,158.1,82.4,119.3,29.1,99.0,66.5,104.2,119.5,69.9,1
2,34,1158.5,383.0,141.0,204.0,0.6911765,164.1,89.5,49.9,147.7,108.8,7.7,166.4,91.4,127.9,172.9,100.9,164.1,39.5,116.5,140.7,63.3,1
1,35,1032.0,427.0,220.0,306.0,0.71895427,164.6,126.1,64.2,175.4,40.6,69.6,111.7,165.2,70.0,107.9,21.9,85.1,61.9,110.1,124.8,63.1,1
2,35,1160.5,384.0,139.0,198.0,0.7020202,170.2,85.8,55.6,153.2,112.4,25.5,165.7,91.2,120.1,180.0,96.4,139.5,30.2,137.9,148.7,43.1,1
1,36,1032.0,433.5,218.0,293.0,0.7440273,165.0,126.1,65.2,169.9,43.5,66.8,106.0,166.4,68.4,101.8,20.7,84.3,60.9,110.3,125.1,63.7,1
1,37,1030.0,436.5,212.0,283.0,0.7491166,168.2,127.7,71.3,170.8,45.7,68.9,106.1,164.9,64.7,102.5,22.1,80.8,56.3,114.6,130.3,58.7,1
1,38,1032.0,441.5,216.0,271.0,0.797048,170.4,127.1,72.2,172.7,44.6,71.7,107.0,164.5,63.2,102.1,24.0,80.5,54.9,116.3,132.3,56.5,1
2,38,1163.0,389.0,132.0,190.0,0.69473684,164.1,87.4,48.3,144.4,107.8,22.1,177.2,85.3,135.3,173.4,99.7,151.3,39.1,129.9,139.4,51.6,1
1,39,1030.5,445.5,213.0,263.0,0.8098859,169.7,124.1,71.5,169.6,49.5,68.1,100.9,167.0,58.7,94.7,20.2,75.8,52.6,117.6,134.2,55.6,1
2,39,1163.0,390.0,134.0,188.0,0.71276593,164.3,88.5,50.9,141.3,105.0,25.8,170.3,86.5,132.5,179.0,94.0,144.6,37.6,130.8,141.0,50.7,1
1,40,1032.5,448.5,215.0,255.0,0.84313726,166.7,122.0,69.2,171.2,47.2,70.3,94.2,169.6,56.6,87.2,17.0,72.9,52.8,117.5,133.8,55.9,1
2,40,1164.5,393.0,131.0,184.0,0.7119565,163.5,92.2,54.5,139.6,106.1,29.3,179.1,91.2,129.6,177.8,87.4,135.1,37.7,135.4,139.2,47.7,1
1,41,1033.0,452.5,216.0,247.0,0.87449396,166.1,122.6,68.0,166.1,51.7,63.8,89.4,172.9,55.1,82.5,13.2,71.1,54.6,115.5,132.0,57.9,1
2,41,1164.0,394.5,132.0,185.0,0.7135135,159.4,93.5,56.5,125.1,104.6,28.7,166.2,90.4,127.9,172.6,87.3,135.3,37.0,133.3,141.7,48.0,1
1,42,1033.0,456.5,212.0,241.0,0.87966806,167.3,124.8,69.7,167.8,49.5,66.3,85.4,175.3,53.1,78.2,10.3,67.7,55.1,115.8,131.6,57.4,1
2,42,1163.0,395.0,130.0,182.0,0.71428573,156.4,94.9,63.3,120.4,107.9,30.6,154.7,97.1,115.0,163.2,82.6,124.8,31.6,138.5,147.8,42.1,1
1,43,1034.5,457.0,215.0,240.0,0.8958333,168.4,125.9,69.0,171.9,45.7,69.0,77.7,179.0,49.4,70.4,2.5,61.3,56.9,114.7,129.6,58.8,1
2,43,1164.5,395.0,129.0,180.0,0.71666664,160.7,92.6,62.3,131.7,108.4,31.6,153.7,97.9,113.4,161.9,82.6,123.5,30.3,140.0,148.7,40.9,1
1,44,1032.5,462.5,215.0,227.0,0.9471366,167.6,124.9,74.9,151.1,65.7,53.7,84.8,177.2,46.6,77.3,6.7,61.0,50.1,119.4,136.2,54.3,1
2,44,1164.0,397.0,130.0,178.0,0.7303371,171.3,84.0,54.2,151.1,111.8,26.9,156.5,92.4,118.6,167.1,89.2,131.8,29.8,138.7,149.0,42.5,1
1,45,1031.0,462.5,220.0,227.0,0.969163,168.6,126.9,75.2,140.5,82.5,33.9,78.3,176.2,42.2,71.3,1.2,56.6,51.8,116.4,134.0,57.8,1
2,45,1164.5,398.0,129.0,174.0,0.7413793,168.3,84.8,59.3,149.6,111.9,33.8,161.8,90.3,117.1,169.7,88.1,124.3,25.5,145.7,152.6,36.2,1
1,46,1031.5,463.0,219.0,226.0,0.96902657,174.9,131.3,81.6,140.3,91.7,25.5,77.2,177.9,42.8,71.4,0.7,58.7,49.7,117.2,135.1,58.1,1
