Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,15,1033.0,336.5,132.0,335.0,0.39402986,120.0,111.2,22.9,161.0,97.2,17.4,161.6,88.9,175.9,161.6,95.5,159.6,88.4,79.8,87.0,104.8,1
2,15,1243.0,369.0,142.0,440.0,0.32272726,128.5,94.9,13.2,167.8,108.4,18.6,163.3,68.2,166.0,158.9,114.0,155.3,81.7,89.8,97.8,90.7,1
1,16,1032.5,344.0,133.0,332.0,0.4006024,125.6,111.7,11.7,157.9,93.7,22.2,147.8,86.0,161.6,144.5,103.3,143.9,100.0,71.5,75.6,112.8,1
2,16,1242.0,375.0,146.0,426.0,0.342723,135.0,93.2,10.2,171.5,109.4,21.8,154.9,66.6,163.4,153.2,116.3,151.1,83.0,87.6,96.8,92.6,1
1,17,1032.5,348.0,139.0,320.0,0.434375,135.0,110.8,0.3,156.4,93.0,34.8,154.5,81.0,147.3,151.3,105.5,129.4,110.5,58.2,66.3,125.1,1
2,17,1242.0,376.0,150.0,426.0,0.35211268,127.8,98.5,14.7,171.4,112.9,25.1,151.5,61.0,156.7,150.1,120.2,147.0,83.8,87.7,95.7,92.8,1
1,18,1241.5,376.5,155.0,417.0,0.37170264,129.3,98.9,12.9,171.9,113.2,27.5,151.3,60.4,152.9,149.3,124.7,139.6,86.1,85.7,92.5,95.7,1
2,18,1033.0,354.0,146.0,316.0,0.4620253,139.3,108.5,7.1,153.6,96.6,41.9,141.6,71.5,131.4,137.6,115.7,114.6,115.6,54.7,60.0,129.8,1
1,19,1034.0,358.5,148.0,301.0,0.49169436,144.8,113.3,8.0,155.7,94.8,46.9,144.6,72.1,127.0,145.8,107.2,116.8,121.4,47.8,54.9,135.9,1
2,19,1235.5,381.5,165.0,407.0,0.4054054,130.0,98.3,11.1,169.4,113.1,27.8,157.0,62.7,153.5,154.0,127.5,135.8,87.2,85.3,90.9,96.6,1
1,20,1229.5,386.0,183.0,396.0,0.46212122,135.9,97.8,7.4,170.8,115.0,32.7,157.9,60.4,147.7,154.3,132.4,127.7,90.4,82.4,87.3,99.9,1
2,20,1029.0,364.0,148.0,292.0,0.5068493,140.6,112.7,1.0,149.3,107.5,53.5,138.1,58.9,118.9,137.8,122.1,105.6,113.8,54.0,59.9,132.3,1
1,21,1227.0,393.0,186.0,384.0,0.484375,140.8,92.6,0.2,173.3,117.5,36.3,157.1,58.8,143.8,153.4,136.1,123.0,92.9,81.2,84.9,100.9,1
2,21,1028.5,372.0,157.0,274.0,0.5729927,142.9,113.3,7.4,157.4,109.7,62.2,141.9,59.0,112.4,143.9,113.3,108.3,120.7,47.5,53.4,138.4,1
1,22,1227.0,400.5,194.0,379.0,0.51187336,143.2,85.1,10.5,179.1,121.7,44.0,146.4,50.9,132.5,143.6,141.4,113.5,95.6,77.7,81.6,105.0,1
2,22,1028.0,377.5,154.0,269.0,0.5724907,137.0,129.0,3.8,152.2,88.5,38.2,157.2,70.0,127.1,155.2,100.6,132.0,125.2,50.3,57.1,127.4,1
1,23,1227.0,402.0,198.0,364.0,0.54395604,141.9,85.6,11.2,176.1,124.7,48.3,146.8,47.3,127.4,144.1,146.7,106.6,96.9,76.4,80.0,106.7,1
2,23,1026.5,385.0,153.0,250.0,0.612,143.7,105.2,14.5,151.2,106.6,58.1,156.0,62.4,115.7,152.3,117.5,104.0,119.7,48.5,53.3,138.5,1
1,24,1226.5,410.0,199.0,350.0,0.56857145,144.9,78.6,22.0,177.7,128.0,55.2,138.4,42.1,118.2,136.3,153.7,95.8,100.6,72.8,76.0,110.5,1
2,24,1025.0,388.5,152.0,243.0,0.6255144,149.4,102.9,30.9,143.8,110.3,76.6,154.1,57.3,98.4,149.8,118.8,89.7,133.8,33.6,41.1,151.5,1
1,25,1225.0,416.0,198.0,336.0,0.58928573,142.8,83.4,19.2,175.9,127.7,57.1,136.0,42.4,117.0,133.9,154.7,93.0,102.5,70.6,74.7,112.2,1
2,25,1025.0,391.5,158.0,231.0,0.6839827,149.9,102.8,39.3,149.7,102.4,73.4,154.9,60.4,92.8,149.0,117.2,86.3,142.1,29.0,32.4,156.5,1
1,26,1225.0,420.5,204.0,325.0,0.6276923,135.6,96.7,8.0,176.2,127.1,61.0,134.6,42.6,115.1,133.4,153.9,89.3,104.7,66.1,72.4,116.7,1
2,26,1024.0,396.5,162.0,223.0,0.7264574,154.8,110.8,38.9,160.9,85.3,63.1,179.1,80.7,107.1,177.8,95.7,102.6,149.8,22.2,26.3,161.7,1
1,27,1223.0,426.0,212.0,316.0,0.6708861,132.1,97.0,8.2,177.3,130.3,64.3,133.4,41.9,112.6,133.2,156.3,85.6,105.2,66.0,70.7,118.1,1
