Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,15,1071.5,577.5,181.0,287.0,0.630662,145.7,57.8,52.6,158.8,129.1,63.9,135.1,31.6,89.8,137.6,149.5,84.4,110.5,65.2,58.2,126.1,0
2,15,874.5,582.5,167.0,257.0,0.6498054,161.4,74.8,57.5,173.8,110.1,64.4,148.8,49.0,86.8,147.0,131.6,84.3,132.4,45.7,37.8,144.1,0
1,16,1072.5,574.0,177.0,294.0,0.6020408,144.2,62.0,47.3,158.3,126.8,60.4,137.2,33.0,93.6,139.4,147.5,88.8,109.4,66.3,60.6,123.7,0
2,16,873.0,581.0,164.0,260.0,0.63076925,161.9,80.5,53.5,174.9,105.3,61.3,149.5,52.7,90.5,147.5,127.9,87.9,134.0,44.0,37.8,144.2,0
1,17,1072.0,571.5,174.0,299.0,0.5819398,146.6,59.7,45.2,158.2,127.6,56.3,139.4,33.8,98.4,141.6,146.8,94.0,104.9,71.3,64.6,119.2,0
2,17,873.0,578.0,162.0,266.0,0.60902256,159.8,78.0,54.4,171.1,106.2,60.6,151.2,51.8,90.6,150.9,126.7,90.1,132.3,45.6,38.8,143.2,0
1,18,1073.0,570.0,170.0,302.0,0.5629139,146.4,63.8,42.4,158.2,123.1,53.4,143.1,39.0,102.6,145.3,140.3,99.2,106.2,69.7,63.6,120.4,0
2,18,872.0,573.0,160.0,276.0,0.5797101,156.6,84.1,53.3,169.2,103.7,62.5,149.9,59.1,93.8,149.4,119.5,93.8,137.3,41.2,34.7,146.7,0
1,19,872.5,567.5,163.0,281.0,0.58007115,152.8,84.1,31.3,151.2,102.7,38.5,153.6,133.2,113.1,152.9,48.4,114.3,115.4,64.2,113.7,65.9,0
2,19,1073.5,568.0,169.0,306.0,0.5522876,144.8,60.5,42.8,152.6,123.6,50.6,142.8,37.0,103.4,144.8,142.8,99.9,103.3,73.0,66.4,117.4,0
